,event,annot,sent_val,frame,lemma,fe,value,ent,is_ent
8365,First_Indochina_War,First_Indochina_War_0_22_7,The strategy of pushing the Việt Minh into attacking well-defended bases in remote parts of the country at the end of their logistical trails was validated at the Battle of Nà Sản even though the base was relatively weak because of a lack of concrete and steel.,Causation,because,Cause,a lack of concrete and steel,N/A,N/A
8541,Operation_Blaze,Operation_Blaze_0_2_5,"Although the Australians were able to take some of the PVA positions on the hill, they did not achieve all of their objectives and were eventually forced to withdraw after running out of ammunition.",Causation,forced,Effect,to withdraw,N/A,N/A
8542,Operation_Blaze,Operation_Blaze_0_2_5,"Although the Australians were able to take some of the PVA positions on the hill, they did not achieve all of their objectives and were eventually forced to withdraw after running out of ammunition.",Causation,forced,Cause,after running out of ammunition,N/A,N/A
8585,Operation_Miracle_(Rhodesia),Operation_Miracle_(Rhodesia)_0_1_2,ZANLA put up stiff resistance and the tactical success of the RSF did not lead to the expected strategic changes.,Causation,lead,Cause,the tactical success of the RSF,N/A,N/A
8586,Operation_Miracle_(Rhodesia),Operation_Miracle_(Rhodesia)_0_1_2,ZANLA put up stiff resistance and the tactical success of the RSF did not lead to the expected strategic changes.,Causation,lead,Effect,to the expected strategic changes,N/A,N/A
8601,Operation_Rimon_20,Operation_Rimon_20_0_8_4,Egyptian military leaders were pleased with the outcome of the battle because the Soviets had long been criticizing Egypt's aerial losses to Israel and attributing them to a lack of skill among Egyptian fighter pilots.,Causation,because,Effect,Egyptian military leaders were pleased with the outcome of the battle,Egypt,1
8602,Operation_Rimon_20,Operation_Rimon_20_0_8_4,Egyptian military leaders were pleased with the outcome of the battle because the Soviets had long been criticizing Egypt's aerial losses to Israel and attributing them to a lack of skill among Egyptian fighter pilots.,Causation,because,Cause,the Soviets had long been criticizing Egypt's aerial losses to Israel and attributing them to a lack of skill among Egyptian fighter pilots,Egypt,1
8603,Operation_Rimon_20,Operation_Rimon_20_0_8_4,Egyptian military leaders were pleased with the outcome of the battle because the Soviets had long been criticizing Egypt's aerial losses to Israel and attributing them to a lack of skill among Egyptian fighter pilots.,Causation,because,Cause,the Soviets had long been criticizing Egypt's aerial losses to Israel and attributing them to a lack of skill among Egyptian fighter pilots,Fighter_aircraft,1
8604,Operation_Rimon_20,Operation_Rimon_20_0_8_4,Egyptian military leaders were pleased with the outcome of the battle because the Soviets had long been criticizing Egypt's aerial losses to Israel and attributing them to a lack of skill among Egyptian fighter pilots.,Causation,because,Cause,the Soviets had long been criticizing Egypt's aerial losses to Israel and attributing them to a lack of skill among Egyptian fighter pilots,Israel,1
8605,Operation_Rimon_20,Operation_Rimon_20_0_8_4,Egyptian military leaders were pleased with the outcome of the battle because the Soviets had long been criticizing Egypt's aerial losses to Israel and attributing them to a lack of skill among Egyptian fighter pilots.,Causation,because,Cause,the Soviets had long been criticizing Egypt's aerial losses to Israel and attributing them to a lack of skill among Egyptian fighter pilots,Soviet_Union,1
8640,Outpost_Harry,Outpost_Harry_0_3_0,"Since the outpost was defended each night by only a single company of American or Greek soldiers, the PVA had anticipated an easy capture.",Causation,Since,Cause,the outpost was defended each night by only a single company of American or Greek soldiers,N/A,N/A
8641,Outpost_Harry,Outpost_Harry_0_3_0,"Since the outpost was defended each night by only a single company of American or Greek soldiers, the PVA had anticipated an easy capture.",Causation,Since,Effect,the PVA had anticipated an easy capture,N/A,N/A
9022,Battles_of_Saratoga,Battles_of_Saratoga_0_9_6,"Burgoyne was therefore compelled to retreat, and his army was surrounded by the much larger American force at Saratoga, forcing him to surrender on October 17.",Causation,forcing,Effect,to surrender on October 17,N/A,N/A
9028,Boston_campaign,Boston_campaign_0_4_5,"The main action during the siege, the Battle of Bunker Hill on June 17, 1775, was one of the bloodiest encounters of the war, and resulted in a Pyrrhic British victory.",Causation,resulted,Cause,"The main action during the siege, the Battle of Bunker Hill on June 17, 1775",Battle_of_Bunker_Hill,1
9029,Boston_campaign,Boston_campaign_0_4_5,"The main action during the siege, the Battle of Bunker Hill on June 17, 1775, was one of the bloodiest encounters of the war, and resulted in a Pyrrhic British victory.",Causation,resulted,Effect,in a Pyrrhic British victory,N/A,N/A
9093,Raid_on_Charlottetown_(1775),Raid_on_Charlottetown_(1775)_0_3_1,"The raid resulted in a diplomatic crisis for George Washington when the privateers overstepped their orders and took prisoner the Acting Governor, the Naval Commander and the Surveyor General of the colony.",Causation,resulted,Cause,The raid,N/A,N/A
9094,Raid_on_Charlottetown_(1775),Raid_on_Charlottetown_(1775)_0_3_1,"The raid resulted in a diplomatic crisis for George Washington when the privateers overstepped their orders and took prisoner the Acting Governor, the Naval Commander and the Surveyor General of the colony.",Causation,resulted,Effect,"in a diplomatic crisis for George Washington when the privateers overstepped their orders and took prisoner the Acting Governor, the Naval Commander and the Surveyor General of the colony",George_Washington,1
9095,Raid_on_Charlottetown_(1775),Raid_on_Charlottetown_(1775)_0_3_1,"The raid resulted in a diplomatic crisis for George Washington when the privateers overstepped their orders and took prisoner the Acting Governor, the Naval Commander and the Surveyor General of the colony.",Causation,resulted,Effect,"in a diplomatic crisis for George Washington when the privateers overstepped their orders and took prisoner the Acting Governor, the Naval Commander and the Surveyor General of the colony",Governor,1
9337,Battle_of_Wisconsin_Heights,Battle_of_Wisconsin_Heights_0_3_1,This reprieve was temporary; when the militia finally caught up with the fleeing band it resulted in the Bad Axe massacre at the mouth of the Bad Axe River.,Causation,resulted,Cause,it,N/A,N/A
9338,Battle_of_Wisconsin_Heights,Battle_of_Wisconsin_Heights_0_3_1,This reprieve was temporary; when the militia finally caught up with the fleeing band it resulted in the Bad Axe massacre at the mouth of the Bad Axe River.,Causation,resulted,Effect,in the Bad Axe massacre at the mouth of the Bad Axe River,Battle_of_Bad_Axe,1
9551,Action_of_10_December_1800,Action_of_10_December_1800_0_8_0,The British sailors were left to respond to the Spanish cannon fire with no more than small arms fire.,Causation,left,Effect,to respond to the Spanish cannon fire with no more than small arms fire,Naval_artillery_in_the_Age_of_Sail,1
9619,Action_of_29_November_1811,Action_of_29_November_1811_0_4_5,"The action of November 1811 was the result of the British interception of a French military convoy traveling from Corfu to Trieste with a consignment of cannon, and resulted in a British victory, only one French ship escaping capture by the British force.",Causation,resulted,Cause,The action of November 1811,N/A,N/A
9620,Action_of_29_November_1811,Action_of_29_November_1811_0_4_5,"The action of November 1811 was the result of the British interception of a French military convoy traveling from Corfu to Trieste with a consignment of cannon, and resulted in a British victory, only one French ship escaping capture by the British force.",Causation,resulted,Effect,in a British victory,N/A,N/A
9939,Battle_of_Grand_Port,Battle_of_Grand_Port_0_8_8,"In response, the British authorities sought to reinforce the squadron on Île Bourbon under Josias Rowley by ordering all available ships to the region, but this piecemeal reinforcement resulted in a series of desperate actions as individual British ships were attacked by the confident and more powerful French squadron.",Causation,resulted,Cause,this piecemeal reinforcement,N/A,N/A
9940,Battle_of_Grand_Port,Battle_of_Grand_Port_0_8_8,"In response, the British authorities sought to reinforce the squadron on Île Bourbon under Josias Rowley by ordering all available ships to the region, but this piecemeal reinforcement resulted in a series of desperate actions as individual British ships were attacked by the confident and more powerful French squadron.",Causation,resulted,Effect,in a series of desperate actions as individual British ships were attacked by the confident and more powerful French squadron,N/A,N/A
9982,Battle_of_Kock_(1809),Battle_of_Kock_(1809)_0_1_1,"The battle saw the death of Polish Army colonel Berek Joselewicz, fighting against the Austrian Empire for the freedom of Poland.",Causation,saw,Cause,The battle,N/A,N/A
9983,Battle_of_Kock_(1809),Battle_of_Kock_(1809)_0_1_1,"The battle saw the death of Polish Army colonel Berek Joselewicz, fighting against the Austrian Empire for the freedom of Poland.",Causation,saw,Effect,the death of Polish Army colonel Berek Joselewicz,Berek_Joselewicz,1
11011,Siege_of_Prague,Siege_of_Prague_0_9_3,"Frederick was defeated at the Battle of Kolín and his force was now too weak to contemplate continuing the siege of Prague, and he was forced to withdraw from Bohemia entirely.",Causation,forced,Effect,to withdraw from Bohemia entirely.,Bohemia,1
11114,Great_Raid_of_1322,Great_Raid_of_1322_0_1_6,"The raid began by attacking the area around Carlisle then crossed into Yorkshire and penetrated ultimately as far as the East Riding, resulting in property being burned and destroyed, valuables from the wealthy and abbeys being stolen, and some residents and livestock being captured and taken back to Scotland.",Causation,resulting,Effect,"in property being burned and destroyed, valuables from the wealthy and abbeys being stolen, and some residents and livestock being captured and taken back to Scotland",N/A,N/A
11760,Battle_of_Ball's_Bluff,Battle_of_Ball's_Bluff_0_2_5,"A false report of an unguarded Confederate camp encouraged Brigadier General Charles Pomeroy Stone to order a raid, which resulted in a clash with enemy forces.",Causation,resulted,Cause,which,N/A,N/A
11761,Battle_of_Ball's_Bluff,Battle_of_Ball's_Bluff_0_2_5,"A false report of an unguarded Confederate camp encouraged Brigadier General Charles Pomeroy Stone to order a raid, which resulted in a clash with enemy forces.",Causation,resulted,Effect,in a clash with enemy forces,N/A,N/A
11855,Battle_of_Fairfax_Court_House_(June_1861),Battle_of_Fairfax_Court_House_(June_1861)_0_1_2,"On June 1, 1861, a Union scouting party clashed with the local militia in the village of Fairfax, Virginia, resulting in the first deaths in action, and the first wounding of a field-grade officer.",Causation,resulting,Effect,"in the first deaths in action, and the first wounding of a field-grade officer",Field_officer,1
11865,Battle_of_Folck's_Mill,Battle_of_Folck's_Mill_0_10_1,"After initially repulsing a charge by the Confederate cavalry, Stough was forced to retreat across the Potomac when the 21st Virginia successfully constructed a bridge and crossed the canal on his left flank.",Causation,forced,Effect,to retreat across the Potomac,Potomac_River,1
11866,Battle_of_Folck's_Mill,Battle_of_Folck's_Mill_0_10_1,"After initially repulsing a charge by the Confederate cavalry, Stough was forced to retreat across the Potomac when the 21st Virginia successfully constructed a bridge and crossed the canal on his left flank.",Causation,forced,Cause,when the 21st Virginia successfully constructed a bridge and crossed the canal on his left flank,Virginia_in_the_American_Civil_War,1
12128,Capture_of_New_Orleans,Capture_of_New_Orleans_0_0_2,"The capture of New Orleans (April 25 – May 1, 1862) during the American Civil War was a turning point in the war, which precipitated the capture of the Mississippi River.",Causation,precipitated,Cause,which,N/A,N/A
12129,Capture_of_New_Orleans,Capture_of_New_Orleans_0_0_2,"The capture of New Orleans (April 25 – May 1, 1862) during the American Civil War was a turning point in the war, which precipitated the capture of the Mississippi River.",Causation,precipitated,Effect,the capture of the Mississippi River,Mississippi_River,1
12248,Siege_of_Corinth,Siege_of_Corinth_0_13_5,"In Memphis I could see its effects upon the citizens, and they openly admitted that their cause had sustained a death-blow.",Causation,cause,Cause,cause,N/A,N/A
12374,Kosovo_War,Kosovo_War_0_15_4,"The NATO bombing campaign has remained controversial, as it did not gain the approval of the UN Security Council and because it caused at least 488 Yugoslav civilian deaths, including substantial numbers of Kosovar refugees.",Causation,caused,Cause,it,N/A,N/A
12375,Kosovo_War,Kosovo_War_0_15_4,"The NATO bombing campaign has remained controversial, as it did not gain the approval of the UN Security Council and because it caused at least 488 Yugoslav civilian deaths, including substantial numbers of Kosovar refugees.",Causation,caused,Effect,"at least 488 Yugoslav civilian deaths, including substantial numbers of Kosovar refugees",Serbia_and_Montenegro,0
12421,Battle_of_Almansa,Battle_of_Almansa_0_2_0,The result was a decisive Bourbon victory that reclaimed most of eastern Spain for Philip.,Causation,result,Effect,result,N/A,N/A
12450,Battle_of_Trenčín,Battle_of_Trenčín_0_2_1,"The battle caused great losses for the Kuruc army, forcing them to give up their plans of obtaining allies in the War of the Spanish Succession against the Habsburgs.",Causation,caused,Cause,The battle,N/A,N/A
12451,Battle_of_Trenčín,Battle_of_Trenčín_0_2_1,"The battle caused great losses for the Kuruc army, forcing them to give up their plans of obtaining allies in the War of the Spanish Succession against the Habsburgs.",Causation,caused,Effect,great losses,N/A,N/A
12738,United_States_invasion_of_Afghanistan,United_States_invasion_of_Afghanistan_0_3_2,"It followed the Afghan Civil War's 1996–2001 phase between the Taliban and the Northern Alliance groups, which resulted in the Taliban controlling 90% of the country by 2001.",Causation,resulted,Cause,which,N/A,N/A
12739,United_States_invasion_of_Afghanistan,United_States_invasion_of_Afghanistan_0_3_2,"It followed the Afghan Civil War's 1996–2001 phase between the Taliban and the Northern Alliance groups, which resulted in the Taliban controlling 90% of the country by 2001.",Causation,resulted,Effect,in the Taliban controlling 90% of the country by 2001,Taliban_insurgency,1
12964,Siege_of_Ochakov_(1788),Siege_of_Ochakov_(1788)_0_17_4,"On the night of December 6 (December 17 in the Gregorian calendar), the Russians attacked, and captured Hasan Pasha's palace, forcing its guards to surrender.",Causation,forcing,Effect,to surrender,N/A,N/A
13325,Battle_of_Landen,Battle_of_Landen_0_10_12,"Like Steenkerque the previous year, Landen was yet another French victory that failed to achieve the decisive result needed to end the war; the Allies quickly replaced their losses, leaving the overall position unchanged.",Causation,leaving,Effect,unchanged,N/A,N/A
13381,Siege_of_Bonn_(1689),Siege_of_Bonn_(1689)_0_5_2,"In June 1689 Brandenburg took Kaiserswerth, leaving Bonn as the only major settlement in Cologne not in Allied hands.",Causation,leaving,Cause,Brandenburg took Kaiserswerth,Brandenburg-Prussia,1
13382,Siege_of_Bonn_(1689),Siege_of_Bonn_(1689)_0_5_2,"In June 1689 Brandenburg took Kaiserswerth, leaving Bonn as the only major settlement in Cologne not in Allied hands.",Causation,leaving,Cause,Brandenburg took Kaiserswerth,Düsseldorf-Kaiserswerth,1
13384,Siege_of_Bonn_(1689),Siege_of_Bonn_(1689)_0_5_2,"In June 1689 Brandenburg took Kaiserswerth, leaving Bonn as the only major settlement in Cologne not in Allied hands.",Causation,leaving,Effect,as the only major settlement in Cologne not in Allied hands,Electorate_of_Cologne,1
13607,Taos_Revolt,Taos_Revolt_0_3_1,"While US troops were overwhelmingly victorious, it did result in the New Mexico Territory forming with proper representation and recognition for Santa Fe de Nuevo México's citizenry in the Treaty of Guadalupe Hidalgo.",Causation,result,Cause,it,N/A,N/A
13608,Taos_Revolt,Taos_Revolt_0_3_1,"While US troops were overwhelmingly victorious, it did result in the New Mexico Territory forming with proper representation and recognition for Santa Fe de Nuevo México's citizenry in the Treaty of Guadalupe Hidalgo.",Causation,result,Effect,in the New Mexico Territory forming with proper representation and recognition for Santa Fe de Nuevo México's citizenry in the Treaty of Guadalupe Hidalgo,Miguel_Hidalgo_y_Costilla,0
13609,Taos_Revolt,Taos_Revolt_0_3_1,"While US troops were overwhelmingly victorious, it did result in the New Mexico Territory forming with proper representation and recognition for Santa Fe de Nuevo México's citizenry in the Treaty of Guadalupe Hidalgo.",Causation,result,Effect,in the New Mexico Territory forming with proper representation and recognition for Santa Fe de Nuevo México's citizenry in the Treaty of Guadalupe Hidalgo,New_Mexico_Territory,1
13610,Taos_Revolt,Taos_Revolt_0_3_1,"While US troops were overwhelmingly victorious, it did result in the New Mexico Territory forming with proper representation and recognition for Santa Fe de Nuevo México's citizenry in the Treaty of Guadalupe Hidalgo.",Causation,result,Effect,in the New Mexico Territory forming with proper representation and recognition for Santa Fe de Nuevo México's citizenry in the Treaty of Guadalupe Hidalgo,Our_Lady_of_Guadalupe,0
13611,Taos_Revolt,Taos_Revolt_0_3_1,"While US troops were overwhelmingly victorious, it did result in the New Mexico Territory forming with proper representation and recognition for Santa Fe de Nuevo México's citizenry in the Treaty of Guadalupe Hidalgo.",Causation,result,Effect,in the New Mexico Territory forming with proper representation and recognition for Santa Fe de Nuevo México's citizenry in the Treaty of Guadalupe Hidalgo,Santa_Fe_de_Nuevo_México,1
14463,Siege_of_Brescia,Siege_of_Brescia_0_3_7,Emperor Frederick began the siege on 11 July 1238 and it lasted until a successful sortie by the city's defenders in early October forced him to lift the siege.,Causation,forced,Cause,a successful sortie by the city's defenders in early October,N/A,N/A
14465,Siege_of_Brescia,Siege_of_Brescia_0_3_7,Emperor Frederick began the siege on 11 July 1238 and it lasted until a successful sortie by the city's defenders in early October forced him to lift the siege.,Causation,forced,Effect,to lift the siege,N/A,N/A
16808,Battle_of_Borovo_Selo,Battle_of_Borovo_Selo_0_8_4,The clash in Borovo Selo eliminated any hopes that the escalating conflict could be defused politically and made the war almost inevitable.,Causation,made,Cause,Selo,N/A,N/A
16809,Battle_of_Borovo_Selo,Battle_of_Borovo_Selo_0_8_4,The clash in Borovo Selo eliminated any hopes that the escalating conflict could be defused politically and made the war almost inevitable.,Causation,made,Effect,almost inevitable,N/A,N/A
16899,Siege_of_Jerusalem_(1099),Siege_of_Jerusalem_(1099)_0_0_3,"The siege of Jerusalem (7 June – 15 July 1099) was waged by European forces of the First Crusade, resulting in the capture of the Holy City of Jerusalem from the Muslim Fatimid Caliphate, and laying the foundation for the Christian Kingdom of Jerusalem, which lasted almost two centuries.",Causation,resulting,Effect,"in the capture of the Holy City of Jerusalem from the Muslim Fatimid Caliphate, and laying the foundation for the Christian Kingdom of Jerusalem, which lasted almost two centuries",Fatimid_Caliphate,1
16900,Siege_of_Jerusalem_(1099),Siege_of_Jerusalem_(1099)_0_0_3,"The siege of Jerusalem (7 June – 15 July 1099) was waged by European forces of the First Crusade, resulting in the capture of the Holy City of Jerusalem from the Muslim Fatimid Caliphate, and laying the foundation for the Christian Kingdom of Jerusalem, which lasted almost two centuries.",Causation,resulting,Effect,"in the capture of the Holy City of Jerusalem from the Muslim Fatimid Caliphate, and laying the foundation for the Christian Kingdom of Jerusalem, which lasted almost two centuries",Kingdom_of_Jerusalem,1
16901,Siege_of_Jerusalem_(1099),Siege_of_Jerusalem_(1099)_0_0_3,"The siege of Jerusalem (7 June – 15 July 1099) was waged by European forces of the First Crusade, resulting in the capture of the Holy City of Jerusalem from the Muslim Fatimid Caliphate, and laying the foundation for the Christian Kingdom of Jerusalem, which lasted almost two centuries.",Causation,resulting,Effect,"in the capture of the Holy City of Jerusalem from the Muslim Fatimid Caliphate, and laying the foundation for the Christian Kingdom of Jerusalem, which lasted almost two centuries",Muslims,1
17262,Battle_of_Sędziejowice,Battle_of_Sędziejowice_0_2_1,The battle resulted in Polish victory.,Causation,resulted,Cause,The battle,N/A,N/A
17263,Battle_of_Sędziejowice,Battle_of_Sędziejowice_0_2_1,The battle resulted in Polish victory.,Causation,resulted,Effect,in Polish victory,Poles,1
17468,Damour_massacre,Damour_massacre_0_2_7,"Many of its people died in battle or in the massacre that followed, and the others were forced to flee.",Causation,forced,Effect,to flee,N/A,N/A
18909,Battles_at_Göta_Älv,Battles_at_Göta_Älv_0_3_1,"The attacks resulted in the Swedes rebasing their Gothenburg Squadron to Marstrand, some smaller vessels were rebased to Strömstad.",Causation,resulted,Cause,The attacks,N/A,N/A
18910,Battles_at_Göta_Älv,Battles_at_Göta_Älv_0_3_1,"The attacks resulted in the Swedes rebasing their Gothenburg Squadron to Marstrand, some smaller vessels were rebased to Strömstad.",Causation,resulted,Effect,in the Swedes rebasing their Gothenburg Squadron to Marstrand,Gothenburg,1
18911,Battles_at_Göta_Älv,Battles_at_Göta_Älv_0_3_1,"The attacks resulted in the Swedes rebasing their Gothenburg Squadron to Marstrand, some smaller vessels were rebased to Strömstad.",Causation,resulted,Effect,in the Swedes rebasing their Gothenburg Squadron to Marstrand,Gothenburg_Squadron,1
18912,Battles_at_Göta_Älv,Battles_at_Göta_Älv_0_3_1,"The attacks resulted in the Swedes rebasing their Gothenburg Squadron to Marstrand, some smaller vessels were rebased to Strömstad.",Causation,resulted,Effect,in the Swedes rebasing their Gothenburg Squadron to Marstrand,Marstrand,1